"","date","time","temp"
"1","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","21.00<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","24ʡC"
"2","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","22.00","24ʡC"
"3","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","23.00","24ʡC"
"4","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","00.00<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","24ʡC"
"5","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","01.00","24ʡC"
"6","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","02.00","24ʡC"
"7","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","03.00","24ʡC"
"8","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","04.00","25ʡC"
"9","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","05.00","26ʡC"
"10","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","06.00","26ʡC"
"11","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","07.00","25ʡC"
"12","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","08.00","25ʡC"
"13","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","09.00","25ʡC"
"14","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","10.00","25ʡC"
"15","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","11.00","25ʡC"
"16","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","12.00","25ʡC"
"17","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","13.00","25ʡC"
"18","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","14.00","25ʡC"
"19","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","15.00","25ʡC"
"20","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","16.00","25ʡC"
"21","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","17.00","25ʡC"
"22","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","18.00","24ʡC"
"23","<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> 10 <U+0928><U+0935><U+0902><U+092C><U+0930>","19.00","24ʡC"
"24","<U+0917><U+0941><U+0930><U+0941><U+0935><U+093E><U+0930> 11 <U+0928><U+0935><U+0902><U+092C><U+0930>","20.00","24ʡC"
